Unique.ID,Radar Stations,X,Y,X.Lon,Y.Lat,X.75.N,Y.75.N,X.75.S,Y.75.S,X.75.E,Y.75.E,X.75.W,Y.75.W,X.150.N,Y.150.N,X.150.S,Y.150.S,X.150.E,Y.150.E,X.150.W,Y.150.W
56,KABR,-241786.663,2485124.781,-99.0857420695644,45.3189474490084,-241786.663,2560124.781,-241786.663,2410124.781,-166786.663,2485124.781,-316786.663,2485124.781,-241786.663,2635124.781,-241786.663,2335124.781,-91786.663,2485124.781,-391786.663,2485124.781
57,KABR,-161790.874,2467347.939,-98.0602978006553,45.1786298924849,-161790.874,2542347.939,-161790.874,2392347.939,-86790.874,2467347.939,-236790.874,2467347.939,-161790.874,2617347.939,-161790.874,2317347.939,-11790.874,2467347.939,-311790.874,2467347.939
58,KABR,-229935.435,2505864.43,-98.9427861825878,45.5087994667268,-229935.435,2580864.43,-229935.435,2430864.43,-154935.435,2505864.43,-304935.435,2505864.43,-229935.435,2655864.43,-229935.435,2355864.43,-79935.435,2505864.43,-379935.435,2505864.43
59,KABR,-259563.505,2496976.009,-99.317714987152,45.4200976950091,-259563.505,2571976.009,-259563.505,2421976.009,-184563.505,2496976.009,-334563.505,2496976.009,-259563.505,2646976.009,-259563.505,2346976.009,-109563.505,2496976.009,-409563.505,2496976.009
60,KABR,-111423.155,2496976.009,-97.4246718646955,45.4533479503216,-111423.155,2571976.009,-111423.155,2421976.009,-36423.155,2496976.009,-186423.155,2496976.009,-111423.155,2646976.009,-111423.155,2346976.009,38576.845,2496976.009,-261423.155,2496976.009
61,KABR,-176604.909,2479199.167,-98.2524533215665,45.2821402487007,-176604.909,2554199.167,-176604.909,2404199.167,-101604.909,2479199.167,-251604.909,2479199.167,-176604.909,2629199.167,-176604.909,2329199.167,-26604.909,2479199.167,-326604.909,2479199.167
62,KABR,-179567.716,2473273.553,-98.288407505727,45.2282358485865,-179567.716,2548273.553,-179567.716,2398273.553,-104567.716,2473273.553,-254567.716,2473273.553,-179567.716,2623273.553,-179567.716,2323273.553,-29567.716,2473273.553,-329567.716,2473273.553
63,KABR,-194381.751,2434757.062,-98.4643895749703,44.8788421003646,-194381.751,2509757.062,-194381.751,2359757.062,-119381.751,2434757.062,-269381.751,2434757.062,-194381.751,2584757.062,-194381.751,2284757.062,-44381.751,2434757.062,-344381.751,2434757.062
64,KABR,-226972.628,2529566.886,-98.9141904492928,45.7228475793361,-226972.628,2604566.886,-226972.628,2454566.886,-151972.628,2529566.886,-301972.628,2529566.886,-226972.628,2679566.886,-226972.628,2379566.886,-76972.628,2529566.886,-376972.628,2529566.886
65,KABR,-182530.523,2437719.869,-98.3151148570251,44.9081295360343,-182530.523,2512719.869,-182530.523,2362719.869,-107530.523,2437719.869,-257530.523,2437719.869,-182530.523,2587719.869,-182530.523,2287719.869,-32530.523,2437719.869,-332530.523,2437719.869
66,KABR,-182530.523,2553269.342,-98.35136947008,45.9473052739315,-182530.523,2628269.342,-182530.523,2478269.342,-107530.523,2553269.342,-257530.523,2553269.342,-182530.523,2703269.342,-182530.523,2403269.342,-32530.523,2553269.342,-332530.523,2553269.342
67,KABR,-215121.4,2550306.535,-98.7698752180014,45.9127172246658,-215121.4,2625306.535,-215121.4,2475306.535,-140121.4,2550306.535,-290121.4,2550306.535,-215121.4,2700306.535,-215121.4,2400306.535,-65121.4,2550306.535,-365121.4,2550306.535
